#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0DTD1-PRO_0000449625	uniprotkb:P0DTD8	intact:EBI-25475871	intact:EBI-25475914	psi-mi:p0dtd1-pro_0000449625(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:ns7b_sars2(display_long)|uniprotkb:Accessory protein 7b(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508766|imex:IM-27901-3	intact-miscore:0.37
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:P0DTC9	intact:EBI-25475862	intact:EBI-25475856	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:ncap_sars2(display_long)|uniprotkb:N(gene name)|psi-mi:N(display_short)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508806|imex:IM-27901-41	intact-miscore:0.37
uniprotkb:P0DTD1-PRO_0000449622	uniprotkb:P0DTC3	intact:EBI-25475862	intact:EBI-25475894	psi-mi:p0dtd1-pro_0000449622(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508810|imex:IM-27901-83	intact-miscore:0.37
uniprotkb:P0DTD1-PRO_0000449625	uniprotkb:P0DTD1-PRO_0000449626	intact:EBI-25475871	intact:EBI-25475874	psi-mi:p0dtd1-pro_0000449625(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449626(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508814|imex:IM-27901-21	intact-miscore:0.63
uniprotkb:P0DTD1-PRO_0000449629	uniprotkb:P0DTD1-PRO_0000449626	intact:EBI-25475885	intact:EBI-25475874	psi-mi:p0dtd1-pro_0000449629(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449626(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508818|imex:IM-27901-43	intact-miscore:0.51
uniprotkb:P0DTD1-PRO_0000449627	uniprotkb:P0DTD1-PRO_0000449625	intact:EBI-25475877	intact:EBI-25475871	psi-mi:p0dtd1-pro_0000449627(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449625(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508822|imex:IM-27901-61	intact-miscore:0.37
uniprotkb:P0DTD1-PRO_0000449628	uniprotkb:P0DTD1-PRO_0000449631	intact:EBI-25475880	intact:EBI-25475920	psi-mi:p0dtd1-pro_0000449628(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449631(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508826|imex:IM-27901-5	intact-miscore:0.37
uniprotkb:P0DTD1-PRO_0000449628	uniprotkb:P0DTD1-PRO_0000449633	intact:EBI-25475880	intact:EBI-25492395	psi-mi:p0dtd1-pro_0000449628(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:p0dtd1-pro_0000449633(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508830|imex:IM-27901-63	intact-miscore:0.37
uniprotkb:P0DTC6	uniprotkb:P0DTD1-PRO_0000449631	intact:EBI-25475897	intact:EBI-25475920	psi-mi:ns6_sars2(display_long)|uniprotkb:Accessory protein 6(gene name synonym)|uniprotkb:Protein X3(gene name synonym)|uniprotkb:6(orf name)	psi-mi:p0dtd1-pro_0000449631(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508834|imex:IM-27901-23	intact-miscore:0.37
uniprotkb:P0DTC4	uniprotkb:P0DTC4	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917	psi-mi:vemp_sars2(display_long)|uniprotkb:E(gene name)|psi-mi:E(display_short)|uniprotkb:4(orf name)	psi-mi:vemp_sars2(display_long)|uniprotkb:E(gene name)|psi-mi:E(display_short)|uniprotkb:4(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508838|imex:IM-27901-65	intact-miscore:0.37
uniprotkb:P0DTC9	uniprotkb:P0DTC4	intact:EBI-25475856	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917	psi-mi:ncap_sars2(display_long)|uniprotkb:N(gene name)|psi-mi:N(display_short)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:vemp_sars2(display_long)|uniprotkb:E(gene name)|psi-mi:E(display_short)|uniprotkb:4(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508843|imex:IM-27901-7	intact-miscore:0.37
uniprotkb:P0DTC3	uniprotkb:P0DTC4	intact:EBI-25475894	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917	psi-mi:ap3a_sars2(display_long)|uniprotkb:Accessory protein 3a(gene name synonym)|uniprotkb:Protein U274(gene name synonym)|uniprotkb:Protein X1(gene name synonym)|uniprotkb:3a(orf name)	psi-mi:vemp_sars2(display_long)|uniprotkb:E(gene name)|psi-mi:E(display_short)|uniprotkb:4(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508847|imex:IM-27901-9	intact-miscore:0.37
uniprotkb:P0DTD2	uniprotkb:P0DTC4	intact:EBI-25475909	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:vemp_sars2(display_long)|uniprotkb:E(gene name)|psi-mi:E(display_short)|uniprotkb:4(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508851|imex:IM-27901-25	intact-miscore:0.37
uniprotkb:P0DTC9	uniprotkb:P0DTC9	intact:EBI-25475856	intact:EBI-25475856	psi-mi:ncap_sars2(display_long)|uniprotkb:N(gene name)|psi-mi:N(display_short)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:ncap_sars2(display_long)|uniprotkb:N(gene name)|psi-mi:N(display_short)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508855|imex:IM-27901-85	intact-miscore:0.37
uniprotkb:P0DTD1-PRO_0000449625	uniprotkb:P0DTC7	intact:EBI-25475871	intact:EBI-25475903	psi-mi:p0dtd1-pro_0000449625(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:ns7a_sars2(display_long)|uniprotkb:Accessory protein 7a(gene name synonym)|uniprotkb:Protein U122(gene name synonym)|uniprotkb:Protein X4(gene name synonym)|uniprotkb:7a(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508859|imex:IM-27901-27	intact-miscore:0.37
uniprotkb:P0DTC8	uniprotkb:P0DTD1-PRO_0000449626	intact:EBI-25475900	intact:EBI-25475874	psi-mi:ns8_sars2(display_long)	psi-mi:p0dtd1-pro_0000449626(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508863|imex:IM-27901-45	intact-miscore:0.37
uniprotkb:P0DTD2	uniprotkb:P0DTD2	intact:EBI-25475909	intact:EBI-25475909	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:orf9b_sars2(display_long)|uniprotkb:Accessory protein 9b(gene name synonym)|uniprotkb:ORF-9b(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25508867|imex:IM-27901-47	intact-miscore:0.37
